comparison,ref,query,variable,value
CNAC_ref_longest_isoform_from0_to200_VS_geneid_RS_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,query_mrnas,17
CNAC_ref_longest_isoform_from0_to200_VS_geneid_S_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,query_mrnas,14
CNAC_ref_longest_isoform_from0_to200_VS_geneid_simple_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,geneid_simple_longest_isoform_from0_to200,query_mrnas,14
geneid_S_longest_isoform_from0_to200_VS_CNAC_ref_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,query_mrnas,29
CNAC_ref_longest_isoform_from0_to200_VS_geneid_R_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,geneid_R_longest_isoform_from0_to200,query_mrnas,15
geneid_RS_longest_isoform_from0_to200_VS_CNAC_ref_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,query_mrnas,29
geneid_S_longest_isoform_from0_to200_VS_geneid_RS_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,query_mrnas,17
geneid_S_longest_isoform_from0_to200_VS_geneid_R_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,geneid_R_longest_isoform_from0_to200,query_mrnas,15
geneid_RS_longest_isoform_from0_to200_VS_geneid_simple_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,geneid_simple_longest_isoform_from0_to200,query_mrnas,14
geneid_R_longest_isoform_from0_to200_VS_CNAC_ref_longest_isoform_from0_to200,geneid_R_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,query_mrnas,29
geneid_R_longest_isoform_from0_to200_VS_geneid_S_longest_isoform_from0_to200,geneid_R_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,query_mrnas,14
geneid_S_longest_isoform_from0_to200_VS_geneid_simple_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,geneid_simple_longest_isoform_from0_to200,query_mrnas,14
geneid_RS_longest_isoform_from0_to200_VS_geneid_R_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,geneid_R_longest_isoform_from0_to200,query_mrnas,15
geneid_R_longest_isoform_from0_to200_VS_geneid_RS_longest_isoform_from0_to200,geneid_R_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,query_mrnas,17
geneid_R_longest_isoform_from0_to200_VS_geneid_simple_longest_isoform_from0_to200,geneid_R_longest_isoform_from0_to200,geneid_simple_longest_isoform_from0_to200,query_mrnas,14
geneid_RS_longest_isoform_from0_to200_VS_geneid_S_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,query_mrnas,14
geneid_simple_longest_isoform_from0_to200_VS_geneid_RS_longest_isoform_from0_to200,geneid_simple_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,query_mrnas,17
geneid_simple_longest_isoform_from0_to200_VS_geneid_S_longest_isoform_from0_to200,geneid_simple_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,query_mrnas,14
geneid_simple_longest_isoform_from0_to200_VS_CNAC_ref_longest_isoform_from0_to200,geneid_simple_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,query_mrnas,29
geneid_simple_longest_isoform_from0_to200_VS_geneid_R_longest_isoform_from0_to200,geneid_simple_longest_isoform_from0_to200,geneid_R_longest_isoform_from0_to200,query_mrnas,15
CNAC_ref_longest_isoform_from0_to200_VS_geneid_RS_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,reference_mrnas,29
CNAC_ref_longest_isoform_from0_to200_VS_geneid_S_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,reference_mrnas,29
CNAC_ref_longest_isoform_from0_to200_VS_geneid_simple_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,geneid_simple_longest_isoform_from0_to200,reference_mrnas,29
geneid_S_longest_isoform_from0_to200_VS_CNAC_ref_longest_isoform_from0_to200,geneid_S_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,reference_mrnas,14
CNAC_ref_longest_isoform_from0_to200_VS_geneid_R_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,geneid_R_longest_isoform_from0_to200,reference_mrnas,29
geneid_RS_longest_isoform_from0_to200_VS_CNAC_ref_longest_isoform_from0_to200,geneid_RS_longest_isoform_from0_to200,CNAC_ref_longest_isoform_from0_to200,reference_mrnas,17
